2025-04-18 19:54:58.693451: Hyderabad | 32.74°C | moderate rain | Humidity: 32%
2025-04-18 19:54:58.770596: Nuzvid | 30.77°C | few clouds | Humidity: 57%
2025-04-18 19:54:58.893416: Delhi | 37.34°C | broken clouds | Humidity: 18%
2025-04-18 19:54:58.999424: Vijayawada | 31.79°C | scattered clouds | Humidity: 54%
2025-04-18 19:54:59.101422: Antarctica | -50.75°C | overcast clouds | Humidity: 100%
2025-04-18 19:54:59.175035: New York | 15.57°C | broken clouds | Humidity: 39%
2025-04-18 19:54:59.237891: London | 15.02°C | overcast clouds | Humidity: 53%
2025-04-18 19:54:59.318082: Tokyo | 19.31°C | clear sky | Humidity: 72%
2025-04-18 19:54:59.397226: Nellore | 28.77°C | clear sky | Humidity: 78%
2025-04-28 21:08:39.919912: Hyderabad | 32.23°C | scattered clouds | Humidity: 43%
2025-04-28 21:08:40.059433: Nuzvid | 29.47°C | scattered clouds | Humidity: 66%
2025-04-28 21:08:40.434783: Delhi | 33.05°C | haze | Humidity: 31%
2025-04-28 21:08:40.599084: Vijayawada | 29.97°C | broken clouds | Humidity: 70%
2025-04-28 21:08:40.727626: Antarctica | -51.85°C | broken clouds | Humidity: 100%
2025-04-28 21:08:40.866059: New York | 20.35°C | clear sky | Humidity: 28%
2025-04-28 21:08:40.990802: London | 23.79°C | broken clouds | Humidity: 39%
2025-04-28 21:08:41.122957: Tokyo | 13.59°C | heavy intensity rain | Humidity: 90%
2025-04-28 21:14:27.990493: Hyderabad | 33.27°C | scattered clouds | Humidity: 24%
2025-04-28 21:14:28.166179: Nuzvid | 28.7°C | scattered clouds | Humidity: 66%
2025-04-28 21:14:28.333131: Delhi | 37.42°C | clear sky | Humidity: 8%
2025-04-28 21:14:28.521082: Vijayawada | 29.6°C | broken clouds | Humidity: 66%
2025-04-28 21:14:28.781969: Antarctica | -51.85°C | broken clouds | Humidity: 100%
2025-04-28 21:14:29.089044: New York | 21.66°C | clear sky | Humidity: 29%
2025-04-28 21:14:29.294514: London | 21.44°C | broken clouds | Humidity: 44%
2025-04-28 21:14:29.519228: Tokyo | 15.47°C | moderate rain | Humidity: 76%
2025-04-28 21:14:29.702754: kurnool | 35.76°C | broken clouds | Humidity: 25%
2025-04-28 21:18:51.751326: Hyderabad | 33.27°C | scattered clouds | Humidity: 24%
2025-04-28 21:18:51.852612: Nuzvid | 28.7°C | scattered clouds | Humidity: 66%
2025-04-28 21:18:51.921820: Delhi | 37.42°C | clear sky | Humidity: 8%
2025-04-28 21:18:51.983414: Vijayawada | 29.6°C | broken clouds | Humidity: 66%
2025-04-28 21:18:52.047523: Antarctica | -51.85°C | broken clouds | Humidity: 100%
2025-04-28 21:18:52.106938: New York | 21.66°C | clear sky | Humidity: 29%
2025-04-28 21:18:52.518315: London | 21.44°C | broken clouds | Humidity: 44%
2025-04-28 21:18:52.645956: Tokyo | 15.47°C | moderate rain | Humidity: 76%
2025-04-28 21:25:02.456641: Hyderabad | 32.23°C | scattered clouds | Humidity: 43%
2025-04-28 21:25:03.011761: Nuzvid | 29.47°C | scattered clouds | Humidity: 66%
2025-04-28 21:25:03.587602: Delhi | 32.05°C | haze | Humidity: 35%
2025-04-28 21:25:08.244283: Vijayawada | 29.97°C | broken clouds | Humidity: 70%
2025-04-28 21:25:08.798946: Antarctica | -51.85°C | broken clouds | Humidity: 100%
2025-04-28 21:25:09.361293: New York | 20.58°C | clear sky | Humidity: 27%
2025-04-28 21:25:10.889013: London | 22.82°C | broken clouds | Humidity: 42%
2025-04-28 21:25:11.447535: Tokyo | 13.55°C | moderate rain | Humidity: 91%
2025-04-28 21:25:11.977136: kurnool | 35.76°C | broken clouds | Humidity: 25%
2025-04-28 21:28:58.065426: Hyderabad | 33.27°C | scattered clouds | Humidity: 24%
2025-04-28 21:28:58.183295: Nuzvid | 28.7°C | scattered clouds | Humidity: 66%
2025-04-28 21:29:01.535553: Delhi | 37.42°C | clear sky | Humidity: 8%
2025-04-28 21:29:01.638043: Vijayawada | 29.6°C | broken clouds | Humidity: 66%
2025-04-28 21:29:01.749167: Antarctica | -51.85°C | broken clouds | Humidity: 100%
